ƪ(˘⌣˘)┐ ƪ(˘⌣˘)ʃ ┌(˘⌣˘)ʃ	Trio, dance, dancing
ヽ(´ー`)人(´∇｀)人(`Д´)ノ	People at a party, anger, dance, dancing, friendly, sad, smiling
\\(‾▿‾\\) (/‾▿‾)/	Double Dance, dance, dancing
\\(^o^)/ *.*.* \\(^o^)/	Ritual Two, dance, dancing, excited, smiling, sparkles
♫♪♩ヾ(*◎○◎)ﾉ♫♪♩	In The Dance, dance, dancing, music
(>^-^)> <(^-^)> <(^-^<)	dance, dancing, smiling
(๑ˇεˇ๑)lala•*¨*•.¸¸laa♪	I'm blushing, blush, dance, dancing, music
♪♪♪ ヽ(･ˇ∀ˇ･ゞ)	Party #7, dance, dancing, music, smiling
♬♩♪♩(　◜◒◝　 )♩♪♩♬	Singing, dance, dancing, music
♪♪(o*゜∇゜)o～♪♪	Party #6, dance, dancing, music, smiling
((ヽ(๑╹◡╹๑)ﾉ))♬	Party #5, blush, dance, dancing, music, smiling
♫ヽ(゜∇゜ヽ)♪♬(ノ゜∇゜)ノ♩♪	Party #3, dance, dancing, music
(*ﾉ・ω・)ﾉ♫♩ヽ(・ω・ヽ*)♬ヽ(*・ω・)ﾉ	dance, dancing, music
٩(๑❛ᴗ❛๑)۶	Everybody put your hands up #8, blush, dance, dancing, happy, smiling
✺◟(∗❛ัᴗ❛ั∗)◞✺	Woman Incomplete, cheerleader, dance, dancing, smiling
＼＼\\(۶•̀ᴗ•́)۶//／／	I Have Power, dance, dancing, smiling
ヽ(°∀°人´ヮ´)ﾉ	Today with my friend, dance, dancing
ヽ(´∠_｀*(´Ｕ｀*)	blush, dance, dancing
(((*°▽°*)八(*°▽°*)))♪	Musical Touch, blush, dance, dancing, music
ヽ(＾Д＾)ﾉ⊂(*⌒∇⌒*)ﾉ	Good friends #4, blush, dance, dancing, smiling
☆-(ノﾟДﾟ)八(ﾟДﾟ )ノ	Run Dudeeee, dance, dancing, running
＼(((￣(￣(￣▽￣)￣)￣)))／ﾔｯﾀｰ!	dance, dancing, smiling
＼(▽￣＼(￣▽￣)／￣▽)／ﾔｯﾀｧｰ!	dance, dancing
＼(＠＾０＾＠)/やったぁ♪	dance, dancing, music
＼(*T▽T*)／ﾜｰｲ♪	blush, dance, dancing, music, smiling
＼（＾ ＾）／ バンザーイ	dance, dancing
+｡:.ﾟヽ(´∀`｡)ﾉﾟ.:｡+ﾟﾟ+｡:.ﾟヽ(*´∀`)ﾉﾟ.:｡+ﾟ	dance, dancing, sparkles
o(≧∇≦o)(o≧∇≦)o　ｲｴｰｲ	dance, dancing, excited
v(｡･ω･｡)ｨｪｨ♪	dance, dancing, music
ヽ(　　´　　∇　　｀　　)ノ ﾜｰｲ	dance, dancing, smiling
ヽ(▽ ｀)ノﾜｰｲ♪ヽ(´▽｀)ノﾜｰｲ♪ヽ( ´▽)ノ	dance, dancing, music
웃+유=❤	Equation, heart, love
유+유=❤	heart, love
웃+웃=❤	heart, love
웃۝유	Round Table, love
♥‿♥	enamored, heart, love, love at first sight, smiling, unicode
(♥‿♥)	Love #1, heart, love, smiling
乂❤‿❤乂	Totally Inlove, heart, love, smiling
(❣◡❣)	Love Tears, crying, love, smiling
(♥♥,)	heart, love
/(♥˳♥)\\	heart, love
\\_(♥‿♥)_/	Inloved, heart, love, smiling
ƪ(♥ﻬ♥)ʃ	Kiss me honey, heart, kiss, love
{♥‿♥}	heart, love, lovestruck, smiling
(✿ ♥‿♥)	I really like him, flower, heart, love, smiling
♥(ˆ⌣ˆԅ)	Love Touch, heart, love, pointing, smiling
(◐ ε ◑)	love
( '́з'̀)	love
( ♥3♥)	heart, love
(ʃƪ ˘ ³˘)	Gold-Figger Look, kiss, love
(ʃƪ˘ﻬ˘)	happy, kiss, kiss me, love
(ㆁuㆁʃƪ)♡	heart, love
♥╣[-_-]╠♥	Heart Path, heart, love
┣┓웃┏♨❤♨┑유┏┥	Dinner, food, heart, love
(* ˘⌣˘)◞[_]♥[_]ヽ(•‿• )	Cheers To Us, heart, love
( ＾◡＾)っ✂❤	Heart Breaker, heart, love, most used, smiling
(Ɔ ˘⌣˘)♥(˘⌣˘ C)	Love couple, heart, love
(Ɔ ˘⌣˘)˘⌣˘ C)	Hugging, hug, love
(ɔˆ ³(ˆ⌣ˆc)	Kissing Couple, kiss, love, loving couple, smiling
(乂ღ˘⌣˘)ノ♥ヽ(ˆ⌣ˆ)ヾ	Sending Love #2, dancing, heart, love
(っ˘з(˘⌣˘ )	Kissing Lennies, kiss, lenny, love, smiling
(Ɔ˘⌣˘)(˘⌣˘)˘⌣˘ C)	Group Hug, hug, love
(˘▼˘>ԅ( ˘⌣ƪ)	Right Touch, love, pointing, smiling
(`˘зε˘`)	Passion, love
(ღ˘⌣˘ღ)	gimme a hug, hug, kiss, love, smiling
(∿°○°)∿ ︵ ǝʌol	Flipping Words #0, heartbroken, love
('∀'●)♡	dimpled love, heart, kiss, love, smiling
(°◡°♡)	Lovely #2, heart, love, smiling
(>'o')> ♥ <('o'<)	heart, love
(´∀｀)♡	fleeting love, heart, kiss, love, smiling
♡('∀' ჱ)	heart, love, smiling
（●´∀｀）ノ♡	heart, kiss, love, smiling, spread the love
( ° ა°)~ð (/❛o❛\\)	love, proposal
(╯3╰)	Kiss me pls, kiss, love
(・_・)❤(-_-)	Indifferent to You, heart, love
(´ ▽｀)ｏ♥♡	Excited Love, heart, love, smiling
（*＾3＾）	kiss, love, pucker up
»-(¯`·.·´¯)->	Indian #2, archery, love
➳♥	Cupid, heart, love
❤+✂=:(	Heartbroken, heart, love
--❦--❀	Apple Love, flower, love
( ˘ω˘ )☞♡☜( ˘ω˘ )	Selecting Love, heart, love, pointing
♥￫ｏ￩♥）	heart, love
♡〜ლ(๑癶ᴗ癶๑)ლ〜♡	All The Things Are Made In Love, blush, heart, love, smiling
♡ლ(-༗‿༗-)ლ♡	Everything Is Love, heart, love, smiling
(✿ ♥‿♥)(♥ω♥*)	flower, heart, love, smiling
(●මᴗමσ)σணღ*	Blushing Love, blush, love, pointing, smiling
(♡ ὅ ◡ ὅ )ʃ♡	Happy Loving Face, heart, love, smiling
(๑ Ỡ ◡͐ Ỡ๑)ﾉ♡	Hey Take My Love, blush, heart, love, smiling
♡ฅ(ᐤˊ꒳ฅˋᐤ♪)	The Person I Like, heart, love, music
꒰˘̩̩̩⌣˘̩̩̩๑꒱♡	Cloud Of Love, crying, heart, love, smiling
( ˘ ³˘)♥	heart, kiss, kiss me, love, ooh sweetness, pucker up
( ^ ᴗ ^ )ε^ )	kiss, love, smiling
(*´ -`)(´- `*)	Mauh, love
(ꈍᴗꈍ)ε｀*)	Kawaii face #67, blush, kiss, love, smiling
(ʃƪ ˘ ³˘)♥(˘ ε˘ʃƪ)	Kawaii face #10, heart, kiss, love
(˶◡‿◡)(´ ❥ `)	Kawaii face #9, blush, heart, love, smiling
(〃´∀｀〃)ε｀●)chu♪	blush, kiss, love, music, smiling
♡(* ＾)(＾ *)♡	New Couple, heart, love
(〃´∀｀〃)ε｀●)	I really like you, blush, kiss, love, smiling
(照′з｀)ε ･｀*)	kiss, love
(ˆ⌣ˆ)ε｀●)	Blessed Kiss, kiss, love, smiling
( ˶˘ ³˘(⋆❛ ہ ❛⋆)!♡	Please No, blush, heart, kiss, love
( ˘ ³˘(◡‿◡˶)	blush, kiss, love, smiling
(˶^ з^(〃‿〃✿)	Kawaii face #66, blush, flower, love, smiling
( o ⊰ o)♥	heart, love
(´ิ ❥ ´ิ♡)	heart, love
♡( ❛ั  દ  ❛ั ⭒)	heart, love
SMOOO━━(´з(ε｀)━━OOCH★☆	kiss, love
.。･:*:･(✿◕3◕)(◕ε◕✿)･:*:･。.	flower, love, sparkles
.ෆ*˚*( o ⊰ o)♥(☉ ⊱ ☉).₊̣̇.ෆ*˚	heart, love
★⌒ヽ(●’､＾●)Kiss!	kiss, love
(^з^)-☆Chu!!	kiss, love, smiling
～～(／￣3)／ kiss～★	kiss, love
( ’з｀)ﾉ⌒♥*:･。.	Kawaii face #71, heart, love, sparkles
.。･:*♡◟༼ຈ 3 ຈ༽◞⌒♡*:･。.	donger, heart, kiss, kisses for everyone, love, sparkles
(○´3｀)ﾉ⌒♡*:･。.	Kawaii face #12, heart, love, sparkles
★⌒ヽ( ͡° ε ͡°)	Kissing Star #3, kiss, lenny, love
★⌒ヽ(´ ❥ `)	Kawaii face #70, heart, kiss, love
（*＾3＾）/～♡	Blowing a kiss #2, heart, kiss, love
⭑♡ˊ⌒(⭒ᵔ દ ᵔ⭒)ノ ｡･:◃*⭑ ༘	heart, love
⑅～♡ヾ(ෆ⁍̴̆  દ ⁍̴̆ ෆ)ノ ♡～⑅	heart, love
♡ლ(⊙◡ુ⊙ლ)≡=─3	heart, love, smiling
(°Д°) ლ(° ◡ુ° )ლ︵‿	love
（＾▽＾（＾▽＾＊）	love, love u dude
(✿˶◕‿◕˶人◕ᴗ◕✿)	Best Friends, blush, flower, love
（´・｀ ）♡	Love #10, heart, love
(♥ω♥*)	In Love #5, heart, love
(๑°꒵°๑)･*♡	I Love You #5, blush, heart, love
(≚ᄌ≚)ℒℴѵℯ❤	Ow, you, blush, heart, love
(´ｰ`* )))) ((((*´ｰ`)	love
(´•ω•｀♥)	I Love You #10, heart, love
(*´c_,｀*)	blush, love
(●´Д`●)	OMG, no, love, sad
(つω`●）	love
(*´－｀*)	blush, love
(●⌒ｖ⌒●)	I Love You #8, love
(●´з｀人´ε｀●)	love
(￣∇￣人￣∇￣)	YOU N ME, love
((*´-ω・｀人´・ω-｀*))	blush, love
( ´∀`))д｀)	love, smiling
(*・ｰ(‘ー’*)	blush, love
(/^.^(^.^*)>	Couple Hug, hug, love, smiling
(/｡>‿‿<｡(˶′◡‵˶)>	blush, love
（　＾＾）人（＾＾　）	Nice friends, best buds, love
(つ・▽・)つ⊂(・▽・⊂)	Best Friends #2, love
(つ≧▽≦)つ⊂(・ヮ・⊂)	Good friends #6, excited, love
(つˆ⌣ˆ)つ⊂(・﹏・⊂)	love, smiling
(Ɔ˘з˘)(ꈍヮꈍ)˘ε˘ C)	I'm a blessed man, blush, kiss, love, smiling
(☆⊙∇⊙)爻(⊙∇⊙☆)	Crazy friends, love
(✿ʘ‿ʘ)爻(ʘ‿ʘ✿)	flower, love
(＾O＾)爻(◕▿◕✿)	flower, gimme a hug, Baby, love, smiling
(˶′◡‵˶)爻(♥ O ♥)	Best Friends #3, blush, heart, love, smiling
HUG FOR YOU~╰(*´︶`*)╯(´・ω・｀)	blush, love, smiling
♥( ´罒`*)	heart, love
٩(๑> ₃ <)۶♥	heart, love
(ღˇᴗˇ)｡o	love, smiling
(*ฅ́˘ฅ̀*) .｡.:*♡	blush, heart, love, sparkles
( ᵒ̴̶̷̥́ _ᵒ̴̶̷̣̥̀ )♡♡♡	crying, heart, love
(❀˙˘˙)♡(˙˘˙❀)	Heart Nose, flower, heart, love
(〃艸〃)♡♡	blush, heart, love
♡҉٩(*´︶`*)۶҉	blush, heart, love, smiling
˚๐*˟ ♡ºัั³ºั♡	heart, love
o͜͡o	happy
◔͜͡◔	happy
◑͜͡◐	happy
ʘ͜͡ʘ	happy
ಠ͜ಠ	happy
(ಠ⌣ಠ)	Hmm, happy, smiling
ᵔ.ᵔ	happy
(◑౪◐)	happy
ಠﭛಠ	Small Devil, devil, happy
ಥﭛಥ	happy
ƪ(ړײ)‎ƪ​​	Creepy Uncle, happy
(ﾟωﾟ)	happy
(￣ω￣﻿)	happy
(◑‿◐)	Cross-Eyed, blush, cute, happy, smiling
≧◔◡◔≦	Innocent Cat, cat, happy, smiling
凸(¬‿¬)凸	Child drawing two fingers, anger, happy, middle finger, smiling, smirk
(▰˘◡˘▰)	Black Sides, blush, happy, satisfied, smiling
(¯`◕‿◕´¯)	happy, smiling
(井●‿●井)	Diez, happy, smiling
ξξ(∵◕◡◕∵)ξξ	Curles, happy, smiling
(͡° ͜ʖ ͡°)	happy, lenny
( ͡ʘ ͜ʖ ͡ʘ)	happy, lenny, most used
¯\\_(͡° ͜ʖ ͡°)_/¯	happy, lenny, shrug
ヽ༼ຈل͜ຈ༽ﾉ	cry, donger, dongers, happy, lenny, raise ur dongers, raise your dongers
ッ	happy, japanese, smile
ツ	Nice face, happy, japanese, smile
シ	happy
【ツ】	Square Smile, happy
ヽ(ヅ)ノ	Careless, blush, happy
¯\\_(ツ)_/¯	happy, japanese, mellow, most used, shrug, shrugging, smile
\\,,/╭(ツ)╮\\,,/	Rocking, happy
¯\\(º o)/¯	You want to fight?, fight, happy, shrug
¯\\_◉‿◉_/¯	happy, shrug, smiling, why am I so happy?
▔\\▁〷●‿●〷▁/▔	Dunno Smile, happy, shrug, smiling
☺	happy, japanese, smile
☻	Black Guy, Black Smiling Face, happy, japanese, smile, unicode
◦°˚ヽ☻ノ˚°◦	Spread Bubbles, happy
Ü	Satisfication, happy
ῧ	happy
〓D	Happy #12, happy
ﺕ	happy
㋡	friendly face1, happy, japanese, smile
‹(•¿•)›	You what? #4, happy
٩(•̮̮̃•̃)۶	happy
٩(̾●̮̮̃̾•̃̾)۶	anger, happy, steaming mad
٩(- ̮̮̃-̃)۶	happy
٩(̃-̮̮̃-)۶	Woman dancing with hands up, dancing, happy
(-̮̮̃•)۶	Pirate boy, happy
٩(●̮̮̃•̃)۶	happy
≥Ö‿Ö≤	happy, smiling
≧◠◡◠≦✌	Smiling boy with his fingers up, happy, smiling
ℰ⍲‿⍲ℰ	Cursive Face, happy, smiling
ℰ⋆‿⋆ℰ	Curly Star, happy, smiling
☆¸☆	happy
≧✯◡✯≦✌	Stars eye, happy, smiling
▁(⋆◡⋆)▁	Steps, happy, smiling
(ツ)_/¯	happy
✌(◕‿-)✌	March Madness winner face, happy, peace, smiling
☚ (<‿<)☚	happy, pointing, smiling
(╭☞⚆ᗜ⚆)╭☞	happy, pointing, smiling
(☞ﾟヮﾟ)☞	Wazzup, do it, happy, pointing, smiling
☜(ﾟヮﾟ☜)	Sweet!, do it, happy, pointing, smiling
☜(*▽*)☞	Asterisk eyes, happy, pointing, smiling
☜(⌒▽⌒)☞	Laying back, angel, excited, happy, pointing, smiling
☜(˚▽˚)☞	This Way Bro, happy, pointing, smiling
(✌ﾟ∀ﾟ)☞	Peace Hand, happy, japanese, pointing, smiling
( ˘▽˘)っ	Get cofee, happy, smiling
(＾▽＾)	Confused and Happy, blush, cheerful, happy, joy, laughing, smiling
（⌒▽⌒）	Happy Animal, cheerful, happy, laughing, smiling
（＾ｖ＾）	Pleased #2, blush, cheerful, happy, laughing, smiling
（・∀・）	Well Hehe Fine, good, happy, mocking, smiling
(´∀`)	Happy #9, cheerful, happy, laughing, smiling
(✌◠▽◠) ☜(ˆ˘ˆ)	Peace Point, happy, pointing, smiling
(☞ ՞ਊ ՞)☞	Hehe I Like You, happy, pointing
╭☞( ͡ ͡° ʖ ͡ ͡°)╭☞	happy, lenny, pointing
(╭☞ ͡ ͡°͜ ʖ ͡ ͡°)╭☞	happy, lenny, pointing
( ՞ਊ ՞)	Really Excited, happy
(ﾟヮﾟ)	happy, smiling
(¬‿¬)	I Got You, annoyed, blush, cunning, happy, smiling, smirk
(ô‿ô)	happy, smiling
c( O.O )ɔ	Monkey Eyes, happy, monkey, shocked, surprised
≧◉◡◉≦	happy, smiling
≧◠‿◠≦	happy, smiling
⊂(◉‿◉)つ	acid, happy, hug, smiling
(─‿‿─)	Wavy lips, annoyed, happy, joy, kiss, pleased, smiling
｡◕‿‿◕｡	Innocent Look, happy, smiling
／人 ◕‿‿◕ 人＼	happy, smiling
|ʘ‿ʘ)╯	happy, hello neighbor, hide, salute_wave, smiling, wall
(/◔ ◡ ◔)/	Praise, happy, smiling
(っ◕‿◕)っ	Come here and embrace me, happy, hug, smiling
╭m(◎◞◎)m╮	Hoping, happy
m╭(◎◞◎)╮m	happy
%ᵕ‿‿ᵕ%	Girl with earrings, happy
／人 ⌒ ‿‿ ⌒ 人＼	happy, smiling
(*・_・)ノ~~~~~~◎	Power Ball, happy
(*・_・)ノ*`*`*	Sending Sparkle, happy
◦°˚ヽ(*・_・)ノ˚°◦	Bubble Bath, happy
(*・_・)ノ	Bless, happy
☜(ˆ▽ˆ)	happy, pointing, smiling
（-＾▽＾-）	happy, smiling
ψ(｀∇´)ψ	Evil Laughter, anger, crafty, devil, evil, happy, smiling
◎[▪‿▪]◎	Happy Big Ears, happy, smiling
♉(ˆ⌣ˆ)♉	Two Medals, happy, proud, smiling
ʃ(˘▽ƪ)	happy, smiling
(ˇʃƪˇ)	Praying Face, happy
(ʃƪ'⌣')	happy, smiling
( ื▿ ืʃƪ)	Stunned Lady, happy, smiling, surprised
(˘‿˘ʃƪ)	happy, smiling
(ʃƪ˘ڡ˘)	Looking Forward, happy, yummy
(ˆ ڡ ˆ)	food! yuum, happy, yummy
(っ˘ڡ˘ς)	cute, dericious, happy, yummy
ლ(´ڡ`ლ)	Yummy, feed me, happy, licking, most used, yummy
(∩_∩)	Moody Eyes, happy, smiling
^.^	happy, smiling
^.^)	happy, smiling
(^.^)	happy, laugh, smiling
^‿^	happy, smiling
=^.^=	Smiling pet, cat, happy, smiling
≥^.^≤	happy, smiling
≤^.^≥	happy, smiling
≧'◡'≦	Smiling boy with big ears, happy, smiling
≧✯◡✯≦	happy, smiling
≧❂◡❂≦	happy, smiling
≧^◡^≦	Satisfied Cat, cat, happy, smiling
≧°◡°≦	happy, smiling
(≖ᴗ≖)	happy, smiling
≧◡≦	happy, kawaii, smiling
p ⌣ q	happy, smiling
סּ ͜ סּ	happy
ಠ◡ಠ	Intrigued #4, annoyed, happy, smiling
◉‿◉	blush, drugged up happy, happy, smiling
ʘ‿ʘ	blush, eager, happy, happy happy, japanese, smiling
(ʘ‿ʘ)	I Know Everything!, happy, smile, smiling
❛̃ᴗ❛̃	happy, smiling
❛ᴗ❛	happy, smiling
•͜•	happy
˙ᴗ˙	happy, smiling
˚͜˚	happy
⁰ᴗ⁰	happy, smiling
ﾟ◡ﾟ	happy, smiling
:◅)	Triangular nose, happy
≕)	happy
≔)	happy
≠)	happy
=☽	happy
<(^,^)>	Hands on waist, happy, smiling
'☋'	happy
Σ=)	Head of M, happy
|(• ◡•)|	happy, smiling
☆(❁‿❁)☆	flower, happy, smiling
ξ◕◡◕ξ	Happy Curls, happy, smiling
❣◕ ‿ ◕❣	Innocent Love, happy, smiling
♀◕‿◕♀	Genders, happy, smiling
✖◕‿◕✖	Double Cross, dead, happy, smiling
✖‿✖	I Am Done, dead, happy, smiling
❁◕ ‿ ◕❁	Watch eyes, flower, happy, smiling
❀◕ ‿ ◕❀	Flower ears, flower, happy, smiling
✿◕ ‿ ◕✿	Ears of black flowers, flower, happy, smiling
≧❀‿❀≦	Flowered eyes, flower, happy, smiling
(❀◦◡◦)	Tropical, flower, happy, smiling
(◡‿◡✿)	Flower in ear, flower, flower girl, happy, smiling
✿乂◕‿◕乂	Decorated, flower, happy, smiling
(*^▽^*)	Enjoy Triangle Mouth, blush, happy, smiling
人⍲‿⍲人	Praying Arms, beg, happy, smiling
乂⍲‿⍲乂	X Hands, happy, smiling
〷◠‿◠〷	Double X Hands, happy, smiling
〷●‿●〷	Friendly, happy, smiling
乂｡●́‿●̀｡乂	Swords, happy, smiling, sword
〤◕‿◕〤	Yes Please #2, happy, smiling
乂◕‿◕乂	happy, smiling
( (y) ◔◡◔) (y)	happy, smiling
╍●‿●╍	Black eyed child, happy, smiling
╭(╭⊚‿⊚╮)╮	Derpy Spider, happy, smiling, spider
≧=ʘ‿ʘ=≦	happy, smiling
ۜ\\(סּںסּَ` )/ۜ	happy, smiling
°\\(^▿^)/°	Gymnastic, flex, happy, smiling
\\ ˚▽˚ /	happy, smiling
\\﻿ (•◡•) /	happy, smiling
(◔/‿\\◔)	happy, smiling
(๑‵●‿●‵๑)	Swirl Happy, blush, happy, smiling
(｡●́‿●̀｡)	Shy Awkward, happy, smiling
(⌐■_■)	cute, happy, stunna shades
﴾❍▾❍﴿	happy, smiling
⺌∅‿∅⺌	happy, smiling
^⨀ᴥ⨀^	Cute Cat Face, cat, happy
ヽ(•‿•)ノ	Happy Hello, dance, dancing, happy, hello, salute_wave, smiling
\\(◦'⌣'◦)/	happy, smiling
ヽ(° ͜>°)ﾉ*҉	happy
/( ´ ▽ ` )ﾉ	happy, smiling
(/*o*)/	happy
(/^▽^)/	Han up, happy, smiling
(ノ・∀・)ノ	happy, laughing arms up, smiling
ヽ(^o^)ノ	Choir Sing, excited, happy, smiling
↖(^▽^)↗	Go Go Go, happy, smiling
ヽ(^。^)丿ヾ	happy, smiling
ლ(╹◡╹ლ)	happy, happy hands up, smiling
ლ(o◡oლ)﻿﻿	happy, smiling, wide-eyed happy hands up
◄:•D	Party Hat, happy
• ɔ •	happy
:っ)	Big Nose Smile, happy
:っD	Big Nose Laugh, happy
ʕ⨀ᴥ⨀ʔ	bear, happy
ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ	bear, happy
( ๑ ❛ ڡ ❛ ๑ )	blush, happy, yummy
^•^*	happy, smiling
⊂(･ω･*⊂)	Hug #8, happy, hug
(つ✧ω✧)つ	Sparkle Hug, happy, hug
ლ(́◉◞౪◟◉‵ლ)	Come to Papa, happy, japanese
(๑•̑з•̑๑)੭ु⁾⁾ ༘	Kiss And Flower, blush, flower, happy, kiss
(o˚̑̑̑̑̑ 3˚̑̑̑̑̑ o)	Is Anyone there ?, happy
(ΦзΦ)	Mesmerized #3, happy
(๑´ㅂ`๑)	Blushing #1, blush, happy
ᕙ(＠°▽°＠)ᕗ	flex, happy, smiling
( ๑‾̀◡‾́)σ»	Poking, happy, pointing, smiling
ｷﾀ━(ﾟ∀ﾟ)━!	happy, smiling
ｷﾀ━━━(ﾟ∀ﾟ)━━━━!!	happy, smiling
ｷﾀ━━━━ヽ(ﾟ∀ﾟ )ﾉ━━━━!!!!	happy, smiling
ｷﾀ━━━ヽ(∀ﾟ )人(ﾟ∀ﾟ)人( ﾟ∀)ノ━━━!!	happy
ｷﾀ━━━(Дﾟ(○=(ﾟ∀ﾟ)=○)Дﾟ)━━━!!	happy, smiling
ｷﾀ━ヽ( ﾟ∀ﾟ)ﾉ┌┛)`Дﾟ)･;’━!!	happy, smiling
ｷﾀ━━━━━━(ﾟ(ﾟ∀(ﾟ∀ﾟ(ﾟ∀ﾟ)ﾟ∀ﾟ)∀ﾟ)ﾟ)━━━━━━!!!	happy
ｷﾀ━━(━(━(-( ( (ﾟ∀ﾟ) ) )-)━)━)━━!!!!	happy, smiling
ｷﾀ – .∵･(ﾟ∀ﾟ)･∵. – ｯ!!	happy, smiling
ｷﾀ━━ﾟ+.ヽ(≧▽≦)ﾉ.+ﾟ━━ ｯ ! ! !	excited, happy, smiling
ｷﾀ━━ヽ( `･ω･)人( ^ω^)人( ﾟДﾟ)人(´∀｀)人(・∀・ )人(ﾟ∀ﾟ )人(^Д^ )ﾉ━━!!	happy, smiling
